Age Pensioners-Count,Persons Aged 65 Years and Over,Age Pensioners-Percent,SAL2 Code,SAL2 Name,Children in Welfare-Dependent and Other Low Income Families - Count?,Children in Welfare-Dependent and Other Low Income Families - Percent?,Disability Support Pensioners - Percent,Disability Support Pensioners - Percent,Health Care Card Holders - Count ,Health Care Card Holders - Percent,Pensioner Concession Card Holders - Count,Pensioner Concession Card Holders - Percent,Seniors Health Card Holders - Count,Seniors Health Card Holders - Percent,People Receiving an Unemployment Benefit - Count,People Receiving an Unemployment Benefit - Percent,People Receiving an Unemployment Benefit Long-Term - Count ,People Receiving an Unemployment Benefit Long-Term - Percent,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Count ,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Percent,Welfare-Dependent and Other Low Income Families With Children - Count ,Welfare-Dependent and Other Low Income Families With Children - Percent,Total Families
2044.105588,3712.206992,55.06442913,207021159,Templestowe,330.3942094,11.52261989,2.570200223,276.9971654,928.8860768,6.80771269,2510.217284,17.07787785,640.208308,17.24602937,196.9015995,1.827009797,22.80498751,1.157236757,265.8727813,2.46697933,208.0259837,4.415063157,4711.732908
390.4728866,1082.818653,36.06078317,207011154,Kew East,57.37905195,4.748765779,2.586100455,114.3361991,244.0719232,4.335606685,542.5695648,9.712624146,185.2162045,17.10500682,51.89428963,1.173765151,null,null,68.98143378,1.560248798,38.60428863,2.431247509,1587.838691
711.8918366,858.8713002,82.88690476,212031304,Cranbourne West,588.5568954,24.28442011,6.535010761,435.506541,940.6685668,10.35088953,1614.537455,21.09019575,22.68596068,2.641369048,352.431192,5.2884203,77.96301981,5.936898684,465.8609954,6.990495737,306.1007089,13.19559229,2319.71936
1630.894412,2961.793008,55.06442913,207021160,Templestowe Lower,263.6057906,11.52261989,2.570200223,221.0028346,741.1139232,6.80771269,2002.782716,17.07787785,510.791692,17.24602937,157.0984005,1.827009797,18.19501249,1.157236757,212.1272187,2.46697933,165.9740163,4.415063157,3759.267092
2591.912125,3986.303483,65.02044154,207031161,Blackburn,416.5573059,10.21525587,3.457534467,447.8479955,1177.964087,6.916746411,3287.478081,19.14142564,463.4933403,11.62714636,286.1794324,2.209399754,28.68313217,1.229513895,376.7920545,2.908959129,256.1925215,4.837518464,5295.949222
1384.087875,2128.696517,65.02044154,207031162,Blackburn South,222.4426941,10.21525587,3.457534467,239.1520045,629.0359128,6.916746411,1755.521919,19.14142564,247.5066597,11.62714636,152.8205676,2.209399754,15.31686783,1.229513895,201.2079455,2.908959129,136.8074785,4.837518464,2828.050778
1882.144041,2802.143449,67.16801174,207031163,Box Hill,403.9773938,12.43363887,3.381854963,431.7315659,1222.72547,7.63478819,2555.439697,16.19807786,292.9607054,10.45487894,315.0612499,2.46794892,38.03349509,1.364699405,408.089123,3.196658144,257.4970411,5.804657629,4436.041839
651,1406,46.30156472,207031167,Surrey Hills (East) - Mont Albert,105,5.718908509,2.028575684,142,457,5.17202354,852,9.976580796,254,18.06543385,95,1.357145704,null,null,133,1.900003986,69,2.6953125,2560
1779.855959,2649.856551,67.16801174,207031164,Box Hill North,382.0226062,12.43363887,3.381854963,408.2684341,1156.27453,7.63478819,2416.560303,16.19807786,277.0392946,10.45487894,297.9387501,2.46794892,35.96650491,1.364699405,385.910877,3.196658144,243.5029589,5.804657629,4194.958161
1533.377752,2229.430195,68.77890842,207031165,Burwood,210.8781105,12.83063257,3.695412997,283.5769212,780.0943306,8.372530574,1964.414673,19.61692926,258.3127955,11.58649399,159.3186703,2.076150211,23.2017481,1.02405012,213.9716769,2.788357079,133.0233558,4.992260062,2664.591871
1440.622248,2094.569805,68.77890842,207031166,Burwood East,198.1218895,12.83063257,3.695412997,266.4230788,732.9056694,8.372530574,1845.585327,19.61692926,242.6872045,11.58649399,149.6813297,2.076150211,21.7982519,1.02405012,201.0283231,2.788357079,124.9766442,4.992260062,2503.408129
1205.658346,2652.174139,45.45924522,208011168,Beaumaris,108.3172964,3.96891968,1.786639731,148.0793419,389.393825,3.534389778,1402.640433,12.64524104,492.2267013,18.55936585,93.2351412,1.124921312,null,null,119.7431715,1.444751881,62.1567608,1.765087605,3521.45472
2427.062619,3620.517124,67.03635243,208021174,Bentleigh - McKinnon,422.059051,8.980469198,3.439224673,491.2124896,1137.239451,5.991021694,3192.658107,17.58879194,358.259427,9.895255699,281.5214177,1.971072451,33.46134125,1.378922539,378.3362318,2.648921456,259.2138569,4.554719348,5691.10492
1597.651749,4373.832529,36.52750166,208011169,Brighton (Vic.),241.154981,5.288311409,1.982989124,276.5166489,657.3792031,3.552520284,1972.137609,10.60771413,726.3634405,16.60702452,157.0985574,1.126603884,16.23158526,0.64285134,204.6339142,1.467495096,143.7654695,2.537603602,5665.402956
745,994,74.94969819,208021180,Hughesdale,154,10.85179205,3.423295531,179,405,6.092057762,1052,16.68252458,84,8.450704225,121,2.31407128,null,null,154,2.94518163,97,5.370985604,1806
1432.341654,3150.825861,45.45924522,208011173,Sandringham - Black Rock,128.6827036,3.96891968,1.786639731,175.9206581,462.606175,3.534389778,1666.359567,12.64524104,584.7732987,18.55936585,110.7648588,1.124921312,null,null,142.2568285,1.444751881,73.8432392,1.765087605,4183.54528
3012.937381,4494.482876,67.03635243,208021175,Bentleigh East,523.940949,8.980469198,3.439224673,609.7875104,1411.760549,5.991021694,3963.341893,17.58879194,444.740573,9.895255699,349.4785823,1.971072451,41.53865875,1.378922539,469.6637682,2.648921456,321.7861431,4.554719348,7064.89508
1473.510097,2206.285759,66.78691059,208021176,Carnegie,226.2565659,7.866338132,3.399412938,427.499843,800.425238,5.180089033,2081.219316,13.94826075,223.9826305,10.15202267,203.5172125,1.618337542,22.73935335,1.050843302,291.6322068,2.319014411,154.059119,3.783331007,4072.049702
688,1082,63.58595194,208021181,Murrumbeena,111,6.592657938,3.298748461,214,389,4.7607392,983,12.87829163,155,14.32532348,109,1.680203656,null,null,149,2.296792153,77,3.429844098,2245
1474.354371,3426.50877,43.02788845,208021177,Caulfield - North,289.4103024,7.170717172,2.852216413,395.8914515,965.4290844,5.388601036,2049.898633,11.6819667,522.5767159,15.25099602,235.3506422,1.695593481,25.6646872,0.984328536,319.9895042,2.30537768,163.2710952,3.30971884,4933.080514
1225.645629,2848.49123,43.02788845,208021178,Caulfield - South,240.5896976,7.170717172,2.852216413,329.1085485,802.5709156,5.388601036,1704.101367,11.6819667,434.4232841,15.25099602,195.6493578,1.695593481,21.3353128,0.984328536,266.0104958,2.30537768,135.7289048,3.30971884,4100.919486
890,1647,54.0376442,208021179,Elsternwick,241,10.66305512,3.1126406,235,533,5.433231397,1222,13.11158798,190,11.53612629,135,1.788112685,null,null,194,2.569584155,119,4.587509638,2594
