SAL2 Name,Children in Welfare-Dependent and Other Low Income Families - Count,Children in Welfare-Dependent and Other Low Income Families - Total,People Receiving an Unemployment Benefit - Count,People Receiving an Unemployment Benefit - Total,People Receiving an Unemployment Benefit Long-Term - Count ,People Receiving an Unemployment Benefit Long-Term - Total,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Count ,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Total,Welfare-Dependent and Other Low Income Families With Children - Count ,Welfare-Dependent and Other Low Income Families With Children - Total 
Moonee Ponds,187.6311859,2542.496594,190.1046666,9926.320082,23.32139033,1794.928654,252.2950409,9926.320085,115.9002429,3398.915965
Carlton,501,1202.664212,384,14230.33579,26,6370.335781,472,14230.33579,240,2096.999999
Kensington,611.0951409,1525.018355,260.90588,8291.193366,null,#VALUE!,319.4360964,8291.193365,299.595345,2368.985709
Melbourne,132,968.7407406,276,27575.25926,48,10394.25926,374,27575.25925,99,3646
Cranbourne South,396.0110699,1930.397527,141.7965451,5279.941802,30.27790921,896.5399374,195.7571754,5279.941804,212.2451457,1880.827746
North Melbourne,717,1804.008111,607,15067.99189,52,3756.991889,743,15067.99189,361,3013.000001
Parkville,69,410.4730102,70,5830.526989,null,#VALUE!,106,5830.526988,45,840
Albert Park,122,2172.294382,131,10879.70561,null,#VALUE!,187,10879.70562,80,3719.000001
Elwood,194,2171.527273,274,12802.47273,null,#VALUE!,377,12802.47273,143,3362
Port Melbourne Industrial,0.149438744,1.033593856,0.133530749,5.936518414,0.015425935,0.513820239,0.172095586,5.936518406,0.096412093,1.82508092
South Melbourne,270,1431.708074,245,8723.291925,25,1127.291925,298,8723.291926,171,2413
St Kilda,403.1521995,2310.022832,644.2183539,20845.88428,50.09932304,2694.015433,867.6023942,20845.88427,226.3310594,4679.866176
St Kilda East,280.8478005,1609.230539,448.7816461,14521.86235,34.90067696,1876.731194,604.3976058,14521.86235,157.6689406,3260.133824
South Yarra - East,191.5599241,1521.611654,299.6544527,13669.09032,28.27789356,2064.207687,415.0465022,13669.09033,127.250521,3219.57501
